="Table 1: Question 1 Regression Results"

="",="(1)",="(2)",="(3)"
="",="RE",="RE TSCORR",="RE FREG"

="LINCOMEP",="0.555***",="0.418***",="0.379***"
="",="(9.39)",="(7.16)",="(5.82)"

="LRPMG",="-0.420***",="-0.344***",="-0.289***"
="",="(-10.52)",="(-10.16)",="(-9.02)"

="LCARPCAP",="-0.607***",="-0.547***",="-0.535***"
="",="(-23.78)",="(-20.90)",="(-18.19)"

="Constant",="1.997***",="1.735***",="1.628***"
="",="(10.83)",="(8.32)",="(6.18)"

="Observations",="342",="342",="342"
="sigma_u",="0.196",="0.194",="0.240"
="sigma_e",="0.0923",="0.0638",="0.0525"
="rho_ar",="",="0.744",="0.899"
="rho_fov",="",="0.902",="0.954"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
