="Replicating Table 2.5"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="OLS",="Between",="Within",="WALHUS",="AMEMIYA",="SWAR",="IMLE"

="LINCOMEP",="0.890***",="0.968***",="0.662***",="0.543***",="0.583***",="0.759***",="0.588"
="",="(0.0358)",="(0.156)",="(0.0734)",="(0.0558)",="(0.0499)",="(0.0423)",="(0.694)"

="LRPMG",="-0.892***",="-0.964***",="-0.322***",="-0.471***",="-0.567***",="-0.767***",="-0.378"
="",="(0.0303)",="(0.133)",="(0.0441)",="(0.0400)",="(0.0386)",="(0.0351)",="(0.445)"

="LCARPCAP",="-0.763***",="-0.795***",="-0.640***",="-0.606***",="-0.628***",="-0.708***",="-0.616*"
="",="(0.0186)",="(0.0825)",="(0.0297)",="(0.0249)",="(0.0235)",="(0.0213)",="(0.291)"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
