="Replicating Table 2.5"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="OLS",="Between",="Within",="WALHUS",="AMEMIYA",="SWAR",="IMLE"

="LINCOMEP",="0.890***",="0.968***",="0.662***",="0.543***",="0.583***",="0.759***",="0.588"
="",="(24.86)",="(6.22)",="(9.02)",="(9.74)",="(11.67)",="(17.93)",="(0.85)"

="LRPMG",="-0.892***",="-0.964***",="-0.322***",="-0.471***",="-0.567***",="-0.767***",="-0.378"
="",="(-29.42)",="(-7.25)",="(-7.29)",="(-11.79)",="(-14.70)",="(-21.83)",="(-0.85)"

="LCARPCAP",="-0.763***",="-0.795***",="-0.640***",="-0.606***",="-0.628***",="-0.708***",="-0.616*"
="",="(-41.02)",="(-9.64)",="(-21.58)",="(-24.30)",="(-26.68)",="(-33.21)",="(-2.12)"

="Constant",="2.391***",="2.542***",="2.403***",="1.906***",="1.900***",="2.159***",="2.136"
="",="(20.45)",="(4.82)",="(10.66)",="(11.18)",="(12.62)",="(16.37)",="(0.95)"

="Observations",="342",="342",="342",="342",="342",="342",="342"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
